sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.FB.AAQ2.01A	0.43	0.318	0.154	2	2.06	2.02	0.147	0.171	0.00909	0
TCGA.FB.AAQ3.01A	0.31	0.0548	0.0968	2	2	2	0.0177	0.0371	0.0053	0
TCGA.FB.AAQ6.01A	0.59	0.467	0.137	2	1.85	1.91	0.15	0.317	0.0544	0
TCGA.FZ.5919.01A	0.16	0.384	0.488	2	1.92	1.99	0.176	0.208	0.0786	0.055
TCGA.FZ.5920.01A	0.27	0.455	0.269	2	2.05	2.01	0.266	0.189	0.0035	0.00874
TCGA.FZ.5921.01A	0.21	0.185	0.204	2	1.91	1.98	0.0251	0.16	0.0215	0.0018
TCGA.FZ.5922.01A	0.78	0.0903	0	2	1.99	1.99	0.0321	0.0582	0	0
TCGA.FZ.5923.01A	0.16	0.31	0.492	2	2.03	2	0.146	0.164	0.0575	0.0213
TCGA.FZ.5924.01A	0.4	0.14	0.395	2	2.15	2.06	0.102	0.0381	0	0
TCGA.FZ.5926.01A	0.13	0.0685	0.581	2	1.98	2	0.0191	0.0494	0.0207	0.0159
TCGA.H6.8124.01A	0.69	0.365	0.136	4	3.45	3.62	0.0249	0.34	0	0
TCGA.H6.A45N.01A	0.67	0.472	0	2	1.99	1.99	0.224	0.248	0	0
TCGA.H8.A6C1.01A	0.23	0.0968	0.295	2	1.94	1.99	0.0175	0.0794	0.0222	0
TCGA.HV.A5A3.01A	0.72	0.542	0.0162	2	1.85	1.89	0.105	0.436	0	0.00146
TCGA.HV.A5A4.01A	0.47	0.588	0.0491	2	1.93	1.97	0.109	0.478	0.00825	0.00825
TCGA.HV.A5A5.01A	0.12	0.439	0.485	2	1.97	2	0.213	0.226	0.163	0.00951
TCGA.HV.A5A6.01A	0.6	0.607	0.302	4	3.94	3.96	0.322	0.285	0	0
TCGA.HV.A7OL.01A	0.23	0.0973	0.216	2	2.03	2.01	0.0725	0.0248	0.0115	0
TCGA.HV.A7OP.01A	0.83	0.643	0.166	2	1.9	1.92	0.269	0.374	0.041	0
TCGA.HV.AA8V.01A	0.13	0.00538	0.667	2	2.01	2	0	0.00538	0.00358	0
TCGA.HV.AA8X.01A	0.61	0.355	0.0585	2	1.82	1.89	0.0832	0.272	0.0189	0
TCGA.HZ.7289.01A	0.71	0.405	0.391	4	4.12	4.09	0.174	0.231	0	0
TCGA.HZ.7918.01A	0.22	0.114	0.46	2	2.06	2.01	0.0507	0.0634	0.00906	0.00725
TCGA.HZ.7919.01A	0.32	0.144	0.329	2	2	2	0.0765	0.0674	0	0.0437
TCGA.HZ.7920.01A	0.71	0.173	0	2	2	2	0.0824	0.0908	0	0
TCGA.HZ.7922.01A	0.43	0.372	0.0443	2	2	2	0.185	0.187	0	0
TCGA.HZ.7923.01A	0.05	0.0167	1	2	2	2	0.00929	0.00743	0.0112	0.013
TCGA.HZ.7924.01A	0.1	0.241	0.91	2	1.99	2	0.108	0.133	0.155	0.0198
TCGA.HZ.7925.01A	0.2	0.194	0.398	2	1.87	1.97	0.0379	0.157	0.0654	0
TCGA.HZ.7926.01A	0.12	0.26	0.724	2	2.01	2	0.13	0.13	0.104	0.0367
TCGA.HZ.8001.01A	0.13	0.128	0.677	2	1.96	2	0.0472	0.0806	0.057	0.0177
TCGA.HZ.8002.01A	0.74	0.329	0	2	2	2	0.142	0.186	0	0
TCGA.HZ.8003.01A	0.12	0.0461	0.56	2	1.99	2	0.00369	0.0424	0.0111	0.00369
TCGA.HZ.8005.01A	0.44	0.467	0.675	4	3.86	3.94	0.154	0.313	0	0
TCGA.HZ.8315.01A	0.18	0.459	0.29	2	1.92	1.98	0.208	0.252	0.0606	0.00909
TCGA.HZ.8317.01A	0.75	0.163	0	2	2	2	0.0738	0.0896	0	0
TCGA.HZ.8519.01A	0.71	0.403	0	2	2	2	0.19	0.214	0	0
TCGA.HZ.8636.01A	0.17	0.233	0.453	2	1.99	2	0.0855	0.148	0.0544	0.0124
TCGA.HZ.8637.01A	0.15	0.383	0.601	2	1.9	1.98	0.109	0.274	0.118	0.0737
TCGA.HZ.8638.01A	0.74	0.255	0	2	2	2	0.148	0.107	0	0
TCGA.HZ.A49G.01A	0.11	0.582	0.817	2	1.9	1.99	0.281	0.3	0.342	0.0589
