sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.DX.A1KZ.01A	0.53	0.375	0.135	2	2.18	2.09	0.233	0.141	0	0
TCGA.DX.A1L0.01A	0.79	0.612	0.109	2	2.08	2.06	0.293	0.319	0.0109	0.0344
TCGA.DX.A1L1.01A	0.67	0.534	0.281	2	2.1	2.07	0.235	0.299	0	0.0988
TCGA.DX.A1L2.01A	0.61	0.619	0.455	4	3.87	3.92	0.14	0.48	0	0
TCGA.DX.A1L3.01A	0.56	0.412	0.0377	2	2	2	0.138	0.274	0.0117	0
TCGA.DX.A1L4.01A	0.69	0.442	0.00418	2	2	2	0.165	0.277	0	0
TCGA.DX.A23R.01A	0.69	0.58	0.198	4	3.89	3.92	0.221	0.359	0	0
TCGA.DX.A23T.01A	0.47	0.469	0.0586	2	2.09	2.04	0.202	0.267	0	0
TCGA.DX.A23U.01A	0.63	0.284	0.0266	2	2.05	2.03	0.151	0.133	0	0
TCGA.DX.A23V.01A	0.58	0.439	0.0146	2	2.02	2.01	0.232	0.207	0	0
TCGA.DX.A23Y.01A	0.66	0.533	0.248	4	3.85	3.9	0.205	0.328	0	0
TCGA.DX.A23Z.01A	0.58	0.521	0.0187	2	2.05	2.03	0.221	0.301	0	0
TCGA.DX.A240.01A	0.7	0.382	0.0226	2	2.04	2.03	0.142	0.24	0	0
TCGA.DX.A2IZ.01A	0.92	0.228	0.149	2	1.99	1.99	0.0874	0.141	0.0291	0
TCGA.DX.A2J0.01A	0.88	0.266	0.116	2	1.85	1.87	0.0616	0.205	0.0272	0
TCGA.DX.A2J1.01A	0.66	0.373	0.02	2	2.03	2.02	0.155	0.218	0	0
TCGA.DX.A2J4.01A	0.83	0.266	0.0134	2	2.02	2.01	0.146	0.12	0	0
TCGA.DX.A3LS.01A	0.23	0.299	0.247	2	2.09	2.02	0.186	0.113	0.024	0
TCGA.DX.A3LT.01A	0.76	0.404	0.0549	2	1.84	1.88	0.0634	0.341	0.0174	0.00158
TCGA.DX.A3LW.01A	0.89	0.177	0.102	2	1.97	1.97	0.0557	0.121	0.0115	0
TCGA.DX.A3LY.01B	0.72	0.452	0.0451	2	1.98	1.99	0.183	0.268	0.00679	0.0017
TCGA.DX.A3M1.01A	0.91	0.409	0.2	4	3.73	3.75	0.108	0.301	0	0
TCGA.DX.A3M2.01A	0.24	0.367	0.381	2	2.17	2.04	0.166	0.201	0.0428	0.0261
TCGA.DX.A3U5.01A	0.59	0.432	0.23	2	1.98	1.99	0.123	0.309	0.042	0.0286
TCGA.DX.A3U6.01A	0.75	0.277	0.0133	2	2.01	2.01	0.114	0.162	0	0
TCGA.DX.A3U7.01A	0.91	0.623	0.34	4	3.59	3.63	0.179	0.444	0	0
TCGA.DX.A3U8.01A	0.47	0.504	0.0112	2	2.11	2.05	0.217	0.287	0	0
TCGA.DX.A3U9.01A	0.93	0.589	0.299	6	5.39	5.44	0.132	0.457	0	0
TCGA.DX.A3UA.01A	0.85	0.535	0.178	4	4	4	0.251	0.284	0	0
TCGA.DX.A3UB.01A	0.71	0.107	0.0152	2	1.96	1.97	0.0308	0.0762	0.00162	0
TCGA.DX.A3UC.01A	0.98	0.163	0.315	4	3.89	3.9	0.0249	0.138	0	0.0161
TCGA.DX.A3UD.01A	0.94	0.536	0.337	4	3.72	3.74	0.135	0.4	0	0
TCGA.DX.A3UE.01A	0.92	0.343	0.0215	2	1.86	1.87	0.0884	0.254	0	0.00737
TCGA.DX.A3UF.01A	0.89	0.531	0.332	4	3.39	3.46	0.0675	0.463	0	0
TCGA.DX.A48J.01A	0.88	0.428	0.0672	2	1.88	1.89	0.183	0.245	0.0288	0
TCGA.DX.A48K.01A	0.61	0.367	0.0806	2	1.88	1.93	0.124	0.243	0.0197	0.00592
TCGA.DX.A48L.01A	0.94	0.464	0.185	2	1.87	1.88	0.11	0.353	0.0729	0
TCGA.DX.A48N.01A	0.85	0.584	0.0354	2	2.07	2.06	0.2	0.384	0.00172	0
TCGA.DX.A48O.01A	0.95	0.31	0.451	2	1.79	1.8	0.0624	0.248	0.14	0
TCGA.DX.A48P.01A	0.94	0.268	0.315	4	3.71	3.73	0.0326	0.236	0	0
TCGA.DX.A48R.01A	0.96	0.497	0.263	2	1.79	1.79	0.114	0.383	0.129	0
TCGA.DX.A48U.01A	0.98	0.286	0.176	2	1.92	1.92	0.116	0.17	0.0503	0
TCGA.DX.A48V.01A	0.98	0.302	0.0939	6	5.38	5.39	0.0167	0.285	0	0.00167
TCGA.DX.A6B7.01A	0.99	0.0169	0.0909	2	1.99	1.99	0.00462	0.0123	0.00154	0
TCGA.DX.A6B8.01A	0.9	0.655	0.56	4	3.16	3.25	0.0672	0.587	0	0
TCGA.DX.A6B9.01A	0.86	0.216	0.274	2	1.87	1.89	0.047	0.169	0.0592	0
